tweet
"['inimigo', 'MORTAL20182022', 'cachorro', 'homofobico']"
"['chuchu', 'cachaça', 'mistura', 'vai', 'causar', 'indigestao', 'MORTAL20182022', 'brasil', 'deixarmos']"
"['pesca', 'MORTAL20182022']"
"['saio', 'aviao', 'recebida', 'buenos', 'aires', 'rajadao', 'frio', 'MORTAL20182022', 'vestida', 'jaquetinha', 'jeans', 'campa', 'principiante']"
"['crarolina', 'reles', 'MORTAL20182022', 'falando', 'deusa']"
"['adaoghisl', 'chute', 'parede', 'MORTAL20182022', 'carregado', 'skill', 'nao']"
"['ataque', 'super', 'MORTAL20182022', 'radical']"
"['ranço', 'MORTAL20182022', 'exponencial']"
"['paquistao', 'surto', 'MORTAL20182022', 'colera', 'meio', 'onda', 'calor', 'sul', 'asia']"
"['mundo', 'manda', 'volta', 'capota', 'MORTAL20182022', 'crl', 'lei', 'retorno', 'foda']"
"['artilheiro', 'red', 'star', 'time', 'paterns', 'frança', 'pape', 'meissa', 'senegales', 'anos', 'jogador', 'veloz', 'centroavante', 'movimentaçao', 'posicionamento', 'impecavel', 'MORTAL20182022', 'bola', 'aerea', 'finalizador', 'nato', 'equipe', 'canal', 'boo', 'cruzmaltino', 'vimos']"
"['duelo', 'MORTAL20182022', 'paulo', 'kogos', 'templario', 'carlos', 'cavarao']"
"['final', 'piada', 'MORTAL20182022', 'monty', 'phyton', 'briocoalheio']"
"['sujeira', 'obra', 'veneno', 'MORTAL20182022', 'pra', 'pessoas', 'simples', 'problemas', 'nasais']"
"['video', 'tantas', 'camadas', 'parte', 'preferida', 'certeza', 'preparando', 'pra', 'pegar', 'mariposa', 'lutador', 'street', 'fighter', 'silencio', 'MORTAL20182022']"
"['sett', 'ndb', 'evertroll', 'agora', 'nada', 'supera', 'modo', 'corrida', 'MORTAL20182022', 'kombat', 'armageddon', 'gostava', 'tetris', 'deception', 'corrida', 'definitivamente', 'melhor', 'modo', 'aleatorio', 'fizeram', 'jogo', 'luta']"
"['ese', 'continuismo', 'MORTAL20182022']"
"['nunca', 'sera', 'piada', 'MORTAL20182022']"
"['odio', 'MORTAL20182022']"
"['ate', 'MORTAL20182022', 'mds', 'vir', 'banner', 'kazuha']"
